Items,group,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
1,A,HK-F1-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Right.wav
1,B,HK-F1-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Right.wav
1,C,HK-F1-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F1-Q-Preference.wav,你更喜欢喝什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F1-A-Right.wav
2,A,HK-F2-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Right.wav
2,B,HK-F2-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Right.wav
2,C,HK-F2-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F2-Q-Preference.wav,你平时更喜欢吃什么水果？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F2-A-Right.wav
3,A,HK-F3-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Right.wav
3,B,HK-F3-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Right.wav
3,C,HK-F3-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F3-Q-Preference.wav,周末你更喜欢做什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F3-A-Right.wav
4,A,HK-F4-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Right.wav
4,B,HK-F4-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Right.wav
4,C,HK-F4-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F4-A-Right.wav
5,A,HK-F5-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Right.wav
5,B,HK-F5-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Right.wav
5,C,HK-F5-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F5-A-Right.wav
6,A,HK-F6-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Right.wav
6,B,HK-F6-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Right.wav
6,C,HK-F6-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F6-A-Right.wav
7,A,HK-F7-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Right.wav
7,B,HK-F7-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Right.wav
7,C,HK-F7-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F7-A-Right.wav
8,A,HK-F8-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Right.wav
8,B,HK-F8-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Right.wav
8,C,HK-F8-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F8-A-Right.wav
9,A,HK-F9-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Right.wav
9,B,HK-F9-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Right.wav
